SYMBOL,EXPIRY_01,EXPIRY_02,EXPIRY_03,EXPIRY_04,EXPIRY_05,EXPIRY_06,EXPIRY_07,EXPIRY_08,EXPIRY_09,TIMESTAMP,EXPIRY_10,EXPIRY_11,EXPIRY_12,EXPIRY_13,EXPIRY_14,EXPIRY_15,EXPIRY_16,EXPIRY_17,EXPIRY_18,EXPIRY_19,EXPIRY_20,EXPIRY_21
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-06-06,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-06-07,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-06-07,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-06-08,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-06-08,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-06-09,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-06-09,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-06-12,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-06-12,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-06-13,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-06-13,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-06-14,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-06-14,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-06-15,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-06-15,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-06-16,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-06-16,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-06-19,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-06-19,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,,,,,,,2017-06-20,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-06-20,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-06-21,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-06-21,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-06-22,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-06-22,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-06-23,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-06-23,,,,,,,,,,,,
